split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.0507893399841475,0.7214756774404179,0.29090513752031216,0.5,0.3492063492063492,99,703,318,51,0.66,0.6885406464250735,0.23741007194244604,0.66,0.7226547270955166,0.3835065439196355,0.5,0.40653357531760437,112,653,259,68,0.6222222222222222,0.7160087719298246,0.3018867924528302,0.6222222222222222,0.7035644339992166,0.3992188451838705,0.5,0.4046242774566474,105,599,229,80,0.5675675675675675,0.7234299516908212,0.3143712574850299,0.5675675675675675,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.310268730681773,0.6353563334172752,0.2778465650269915,0.5,0.3114754098360656,19,144,65,19,0.5,0.6889952153110048,0.2261904761904762,0.5,0.6144540942928041,0.31334986482466043,0.5,0.391304347826087,27,127,59,25,0.5192307692307693,0.6827956989247311,0.313953488372093,0.5192307692307693,0.5866869918699188,0.3361503242327672,0.5,0.38571428571428573,27,111,53,33,0.45,0.676829268292683,0.3375,0.45,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.1041800762770824,0.7158848158591814,0.3109204591562326,0.4600000000000001,0.39572192513368987,37,146,103,10,0.7872340425531915,0.5863453815261044,0.2642857142857143,0.7872340425531915,0.7091593245227606,0.2912941588367631,0.44000000000000006,0.4148936170212766,39,126,101,9,0.8125,0.5550660792951542,0.2785714285714286,0.8125,0.7661640156992358,0.3601342302432871,0.42000000000000004,0.4263959390862944,42,98,108,5,0.8936170212765957,0.47572815533980584,0.28,0.8936170212765957,0.6346052480700078,0.7932913836195847,0.6306260922779153,0.7848001512956703,0.6897266221103336,0.8321628086907094
