Feature,VIF,R_squared
PHYFUN,373.00026196128937,0.9973190367354118
sf36pf,352.42749491362906,0.9971625369347387
fss_sum,14.332529302389275,0.9302286443026286
SEON,9.46727058783098,0.8943729356077159
fss5,9.314393188060883,0.8926392756017867
UPO15,7.127721990908618,0.8597027211112476
HYON,6.939526235230104,0.8558979437352265
sf36pcs,6.2866994602649475,0.8409340216880901
UPO27,5.643491353033846,0.8228047254006304
MCI_15SD_MDScriteria,5.386794277923581,0.814360833474141
UPO_part3_tot,4.968287637863067,0.7987234087698444
STROOPC,4.865298504716458,0.7944627654334894
STROOPW,4.75963903138364,0.7899000337197215
fss2,4.021802736744311,0.7513552838224209
MMSE_tot,3.555736288649809,0.7187642955434915
IQCODE_mean,3.161478631267255,0.6836923108984743
UPO_part2_tot,2.5116956982864975,0.6018625979722745
madrs_tot,2.4411478371385287,0.5903566409266787
pdss_tot,2.4253995701723676,0.5876968016742362
PIGD,1.9316025353051018,0.48229515041403315
madrs10,1.7229819215778324,0.419610857504388
UPO_part4_tot,1.6505799414057032,0.39415233705775077
epwo6,1.6079069391840985,0.378073459582536
pdss02,1.5583929943718586,0.3583133371290148
CONSTIPAT,1.5177115239907855,0.341113258881685
URINDYS,1.4815945415254208,0.3250515090515793
PressStand_Dia,1.4443646414355125,0.30765405679958435
npi8hi,1.4005339767575482,0.2859866189643224
