epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3
1,1.110157421202159,1.2496269935445152,0.6779148829010324,0.27470334097382254,0.5789473684210527,0.69377990430622,0.6943755169561621,0.36318269670234227,0.5769230769230769,0.6935483870967742,0.6816056910569106,0.40721437714058434,0.4166666666666667,0.774390243902439
2,1.002969927439905,1.2454142866417115,0.6799294887937547,0.2771242977242573,0.6842105263157895,0.645933014354067,0.6955128205128205,0.36428506773479297,0.7115384615384616,0.6666666666666666,0.6839430894308942,0.4028684769877343,0.5,0.7012195121951219
3,0.9399763709605105,1.2716482894545045,0.6709896751447998,0.2730194032626738,0.5526315789473685,0.6889952153110048,0.6885856079404468,0.35748085409159375,0.6538461538461539,0.6881720430107527,0.6742886178861789,0.3994717079581671,0.5666666666666667,0.7012195121951219
4,0.8855183873239163,1.3436125420212577,0.6568874338957442,0.26229939979951006,0.5263157894736842,0.6985645933014354,0.6731803143093466,0.3455344828435596,0.5384615384615384,0.7096774193548387,0.6677845528455284,0.39430529423427163,0.5333333333333333,0.7317073170731707
5,0.8362812014690103,1.35680315407106,0.6344749433392093,0.2437690935158929,0.5263157894736842,0.631578947368421,0.6522952853598015,0.33277043230660885,0.5961538461538461,0.6559139784946236,0.6527439024390244,0.3830060952218398,0.55,0.6951219512195121
6,0.7756237898372177,1.474686942164417,0.6189876605389071,0.24060003164137178,0.5,0.6507177033492823,0.6374069478908189,0.31215849548526386,0.5576923076923077,0.6720430107526881,0.644308943089431,0.36992522699786967,0.5,0.6707317073170732
7,0.7092738790990232,1.6751858433143711,0.6104255854948375,0.24138431448239256,0.47368421052631576,0.7033492822966507,0.6247932175351529,0.3143251605099746,0.38461538461538464,0.7365591397849462,0.6470528455284553,0.3753123660871152,0.45,0.75
