split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,auc_t+4,ap_t+4,threshold_t+4,f1_t+4,tp_t+4,tn_t+4,fp_t+4,fn_t+4,sensitivity_t+4,specificity_t+4,precision_t+4,recall_t+4,auc_t+5,ap_t+5,threshold_t+5,f1_t+5,tp_t+5,tn_t+5,fp_t+5,fn_t+5,sensitivity_t+5,specificity_t+5,precision_t+5,recall_t+5,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3,ci_lo_t+4,ci_hi_t+4,ci_lo_t+5,ci_hi_t+5
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,5,3,0.9535812700372229,0.7723473718576559,0.3860867644908321,0.5,0.3840304182509506,101,746,275,49,0.6733333333333333,0.7306562193927522,0.26861702127659576,0.6733333333333333,0.7685794346978557,0.4768533784090545,0.5,0.4763779527559055,121,705,207,59,0.6722222222222223,0.7730263157894737,0.36890243902439024,0.6722222222222223,0.7578861470165819,0.4643352142892405,0.5,0.4611973392461197,104,666,162,81,0.5621621621621622,0.8043478260869565,0.39097744360902253,0.5621621621621622,0.753903913881321,0.5129906621775547,0.5,0.48459958932238195,118,578,167,84,0.5841584158415841,0.7758389261744967,0.41403508771929826,0.5841584158415841,0.7499218572402819,0.5422453769402714,0.5,0.507399577167019,120,523,141,92,0.5660377358490566,0.7876506024096386,0.45977011494252873,0.5660377358490566,,,,,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,5,3,1.171702598621699,0.7030974565600604,0.2863260220001252,0.5,0.3586206896551724,26,128,81,12,0.6842105263157895,0.6124401913875598,0.24299065420560748,0.6842105263157895,0.7155707196029776,0.3491186270788208,0.5,0.5,38,124,62,14,0.7307692307692307,0.6666666666666666,0.38,0.7307692307692307,0.7127032520325203,0.40751942469991465,0.5,0.5306122448979592,39,116,48,21,0.65,0.7073170731707317,0.4482758620689655,0.65,0.681214000886132,0.41500310249381245,0.5,0.5131578947368421,39,96,52,22,0.639344262295082,0.6486486486486487,0.42857142857142855,0.639344262295082,0.6384795482715879,0.37657991610877983,0.5,0.47761194029850745,32,88,49,21,0.6037735849056604,0.6423357664233577,0.3950617283950617,0.6037735849056604,,,,,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,5,3,1.0597399364306233,0.7489532598479023,0.40899015356509183,0.56,0.3660130718954248,28,171,78,19,0.5957446808510638,0.6867469879518072,0.2641509433962264,0.5957446808510638,0.7019089574155654,0.3501053876692878,0.5000000000000001,0.36363636363636365,30,140,87,18,0.625,0.6167400881057269,0.2564102564102564,0.625,0.7174137574881223,0.35237836400306605,0.4600000000000001,0.3875,31,124,82,16,0.6595744680851063,0.6019417475728155,0.2743362831858407,0.6595744680851063,0.6855958781362007,0.33565860319454793,0.42000000000000004,0.42696629213483145,38,94,92,10,0.7916666666666666,0.5053763440860215,0.2923076923076923,0.7916666666666666,0.6323662153449388,0.30353679555605106,0.4,0.4228571428571429,37,74,91,10,0.7872340425531915,0.4484848484848485,0.2890625,0.7872340425531915,0.678150857756712,0.8149650178873029,0.6257280598189688,0.7697389922587511,0.6488170167905983,0.7847576657276614,0.6111568986568986,0.7518544382371197,0.5534233400082951,0.7085735121310569
