split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,20,0.5,3,3,3,0.9002526813847387,0.812445315050604,0.4435892444030932,0.5,0.44349680170575695,104,806,215,46,0.6933333333333334,0.7894221351616063,0.32601880877742945,0.6933333333333334,0.8246771442495127,0.5338275884644499,0.5,0.5296610169491526,125,745,167,55,0.6944444444444444,0.8168859649122807,0.4280821917808219,0.6944444444444444,0.8035187361274319,0.525849649968449,0.5,0.5555555555555556,125,688,140,60,0.6756756756756757,0.8309178743961353,0.4716981132075472,0.6756756756756757,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,20,0.5,3,3,3,1.157198995015517,0.7239989926970537,0.286819616093186,0.5,0.36619718309859156,26,131,78,12,0.6842105263157895,0.6267942583732058,0.25,0.6842105263157895,0.7404880066170388,0.37791753782253296,0.5,0.4931506849315068,36,128,58,16,0.6923076923076923,0.6881720430107527,0.3829787234042553,0.6923076923076923,0.7397357723577236,0.4326559600555075,0.5,0.5333333333333333,40,114,50,20,0.6666666666666666,0.6951219512195121,0.4444444444444444,0.6666666666666666,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,20,0.5,3,3,3,1.079506345961279,0.7581816628214988,0.44871333513544504,0.5,0.4383561643835616,32,182,67,15,0.6808510638297872,0.7309236947791165,0.32323232323232326,0.6808510638297872,0.7142988252569752,0.3995572803760946,0.5,0.4,28,163,64,20,0.5833333333333334,0.7180616740088106,0.30434782608695654,0.5833333333333334,0.7202024375129106,0.38019327575654305,0.5,0.42748091603053434,28,150,56,19,0.5957446808510638,0.7281553398058253,0.3333333333333333,0.5957446808510638,0.6730593734564619,0.8339965789151053,0.6309208726389284,0.7892056308891883,0.6383929601882066,0.7964866234309764
