split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,auc_t+4,ap_t+4,threshold_t+4,f1_t+4,tp_t+4,tn_t+4,fp_t+4,fn_t+4,sensitivity_t+4,specificity_t+4,precision_t+4,recall_t+4,auc_t+5,ap_t+5,threshold_t+5,f1_t+5,tp_t+5,tn_t+5,fp_t+5,fn_t+5,sensitivity_t+5,specificity_t+5,precision_t+5,recall_t+5,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3,ci_lo_t+4,ci_hi_t+4,ci_lo_t+5,ci_hi_t+5
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,0.9629025536323206,0.7771922951354882,0.386358341400351,0.5,0.378698224852071,96,760,261,54,0.64,0.7443682664054848,0.2689075630252101,0.64,0.7832054093567251,0.4932458844586546,0.5,0.4655493482309125,125,680,232,55,0.6944444444444444,0.7456140350877193,0.35014005602240894,0.6944444444444444,0.7591199895547721,0.479616738579496,0.5,0.46120689655172414,107,656,172,78,0.5783783783783784,0.7922705314009661,0.3835125448028674,0.5783783783783784,0.7503555053491926,0.5126055585317415,0.5,0.5,121,584,161,81,0.599009900990099,0.7838926174496644,0.42907801418439717,0.599009900990099,0.7495808706524208,0.5280524414485073,0.5,0.5170940170940171,121,529,135,91,0.5707547169811321,0.7966867469879518,0.47265625,0.5707547169811321,,,,,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.1545275318493482,0.7115336187358349,0.3085625438572852,0.5,0.34532374100719426,24,132,77,14,0.631578947368421,0.631578947368421,0.2376237623762376,0.631578947368421,0.7200165425971877,0.3629856710013045,0.5,0.45454545454545453,35,119,67,17,0.6730769230769231,0.6397849462365591,0.3431372549019608,0.6730769230769231,0.7168699186991869,0.42269283133292057,0.5,0.5135135135135135,38,114,50,22,0.6333333333333333,0.6951219512195121,0.4318181818181818,0.6333333333333333,0.6867523260965884,0.43846785898690743,0.5,0.5503355704697986,41,101,47,20,0.6721311475409836,0.6824324324324325,0.4659090909090909,0.6721311475409836,0.6503236468805951,0.3914109577931868,0.5,0.4888888888888889,33,88,49,20,0.6226415094339622,0.6423357664233577,0.4024390243902439,0.6226415094339622,,,,,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.0332222630658487,0.7568144920105956,0.41432701620865453,0.44000000000000006,0.3695652173913043,34,146,103,13,0.723404255319149,0.5863453815261044,0.24817518248175183,0.723404255319149,0.716776798825257,0.3934264805691436,0.4,0.39622641509433965,42,105,122,6,0.875,0.46255506607929514,0.25609756097560976,0.875,0.7254699442263994,0.38485232890872423,0.42000000000000004,0.384180790960452,34,110,96,13,0.723404255319149,0.5339805825242718,0.26153846153846155,0.723404255319149,0.6955645161290323,0.3446249966000232,0.4800000000000001,0.38095238095238093,28,115,71,20,0.5833333333333334,0.6182795698924731,0.2828282828282828,0.5833333333333334,0.6517085751128304,0.34733998384120035,0.38,0.4656084656084656,44,67,98,3,0.9361702127659575,0.40606060606060607,0.30985915492957744,0.9361702127659575,0.68434459856502,0.8182498512343916,0.6431431752985203,0.786832670290223,0.659696564444136,0.7938276213538658,0.6190208718778909,0.7652127289921636,0.5699733058320628,0.7310155722840757
