split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,auc_t+4,ap_t+4,threshold_t+4,f1_t+4,tp_t+4,tn_t+4,fp_t+4,fn_t+4,sensitivity_t+4,specificity_t+4,precision_t+4,recall_t+4,auc_t+5,ap_t+5,threshold_t+5,f1_t+5,tp_t+5,tn_t+5,fp_t+5,fn_t+5,sensitivity_t+5,specificity_t+5,precision_t+5,recall_t+5,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3,ci_lo_t+4,ci_hi_t+4,ci_lo_t+5,ci_hi_t+5
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,0.9364752029409407,0.7792295135488083,0.3885528876163724,0.5,0.3766478342749529,100,740,281,50,0.6666666666666666,0.7247796278158668,0.26246719160104987,0.6666666666666666,0.7848684210526315,0.5025525932411655,0.5,0.4667931688804554,123,688,224,57,0.6833333333333333,0.7543859649122807,0.35446685878962536,0.6833333333333333,0.7714910562736649,0.4938706247574798,0.5,0.4842105263157895,115,653,175,70,0.6216216216216216,0.788647342995169,0.39655172413793105,0.6216216216216216,0.7583228121469865,0.5311421167616552,0.5,0.4970414201183432,126,566,179,76,0.6237623762376238,0.7597315436241611,0.4131147540983607,0.6237623762376238,0.7524011138895204,0.5489058797344367,0.5,0.5093167701863354,123,516,148,89,0.5801886792452831,0.7771084337349398,0.45387453874538747,0.5801886792452831,,,,,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.1687151470662025,0.7012087635356333,0.29753857307114673,0.5,0.3783783783783784,28,127,82,10,0.7368421052631579,0.6076555023923444,0.2545454545454545,0.7368421052631579,0.7245657568238213,0.37098292930310206,0.5,0.48717948717948717,38,120,66,14,0.7307692307692307,0.6451612903225806,0.36538461538461536,0.7307692307692307,0.7105691056910568,0.40650628906115616,0.5,0.5228758169934641,40,111,53,20,0.6666666666666666,0.676829268292683,0.43010752688172044,0.6666666666666666,0.6859769605671245,0.4222096603184899,0.5,0.5714285714285714,44,99,49,17,0.7213114754098361,0.668918918918919,0.4731182795698925,0.7213114754098361,0.6544553091860625,0.38494707763418795,0.5,0.5,34,88,49,19,0.6415094339622641,0.6423357664233577,0.40963855421686746,0.6415094339622641,,,,,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.054286762907749,0.7548491839699222,0.441280450343479,0.5,0.3954802259887006,35,154,95,12,0.7446808510638298,0.6184738955823293,0.2692307692307692,0.7446808510638298,0.7110866372980911,0.3920002503680864,0.5,0.37349397590361444,31,140,87,17,0.6458333333333334,0.6167400881057269,0.2627118644067797,0.6458333333333334,0.725160090890312,0.392267277673243,0.5,0.4025974025974026,31,130,76,16,0.6595744680851063,0.6310679611650486,0.2897196261682243,0.6595744680851063,0.6858198924731183,0.33008664273590477,0.5,0.37583892617449666,28,113,73,20,0.5833333333333334,0.6075268817204301,0.27722772277227725,0.5833333333333334,0.6622823984526112,0.357737913476165,0.5,0.3829787234042553,27,98,67,20,0.574468085106383,0.593939393939394,0.2872340425531915,0.574468085106383,0.6822125202939417,0.8227516017718047,0.6372425376758373,0.7800444730622946,0.6577392102991697,0.7952296616320946,0.6117105263157895,0.7571694813414834,0.5797719002775642,0.7376964379256156
