split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,0.9624764808841386,0.7897877897486125,0.41567128790282354,0.5,0.42332613390928725,98,806,215,52,0.6533333333333333,0.7894221351616063,0.31309904153354634,0.6533333333333333,0.7869822124756336,0.5011684912588836,0.5,0.48559670781893005,118,724,188,62,0.6555555555555556,0.793859649122807,0.38562091503267976,0.6555555555555556,0.7744875310092701,0.4917118896851175,0.5,0.49321266968325794,109,680,148,76,0.5891891891891892,0.821256038647343,0.42412451361867703,0.5891891891891892,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.1939335819780406,0.7149332661798037,0.2866703846492421,0.5,0.373134328358209,25,138,71,13,0.6578947368421053,0.6602870813397129,0.2604166666666667,0.6578947368421053,0.7158808933002481,0.36999101601163564,0.5,0.5064935064935064,39,123,63,13,0.75,0.6612903225806451,0.38235294117647056,0.75,0.7027439024390245,0.42057939549455736,0.5,0.5066666666666667,38,112,52,22,0.6333333333333333,0.6829268292682927,0.4222222222222222,0.6333333333333333,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.0617694267370168,0.7636503460651115,0.40329163301628956,0.44000000000000006,0.3888888888888889,35,151,98,12,0.7446808510638298,0.606425702811245,0.2631578947368421,0.7446808510638298,0.733571953010279,0.3496687843619343,0.5000000000000001,0.3790849673202614,29,151,76,19,0.6041666666666666,0.6651982378854625,0.2761904761904762,0.6041666666666666,0.7343524065275769,0.37123647403783305,0.4800000000000001,0.3945578231292517,29,135,71,18,0.6170212765957447,0.6553398058252428,0.29,0.6170212765957447,0.690485632983219,0.8237622604363598,0.6612375304265042,0.7982225039397631,0.6673700091426855,0.8038773936723791
