horizon,auc,ci_lo,ci_hi
t+1,0.757839870118773,0.6830860874216902,0.8209979215927617
t+2,0.7315528634361234,0.6605749020790391,0.7983341404516504
t+3,0.7313571576120637,0.6632450921047275,0.8015290155305398
t+4,0.6901881720430108,0.6067861387208296,0.7606936226166995
t+5,0.6777562862669246,0.5946748178412491,0.7546055413687602
