split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,auc_t+4,ap_t+4,threshold_t+4,f1_t+4,tp_t+4,tn_t+4,fp_t+4,fn_t+4,sensitivity_t+4,specificity_t+4,precision_t+4,recall_t+4,auc_t+5,ap_t+5,threshold_t+5,f1_t+5,tp_t+5,tn_t+5,fp_t+5,fn_t+5,sensitivity_t+5,specificity_t+5,precision_t+5,recall_t+5,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3,ci_lo_t+4,ci_hi_t+4,ci_lo_t+5,ci_hi_t+5
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,0.8939760881654186,0.8069866144302971,0.42589344533199996,0.5,0.4312896405919662,102,800,221,48,0.68,0.7835455435847208,0.3157894736842105,0.68,0.8177631578947369,0.517426569783929,0.5,0.5072164948453608,123,730,182,57,0.6833333333333333,0.8004385964912281,0.40327868852459015,0.6833333333333333,0.8056926491709101,0.5270688721354381,0.5,0.5434782608695652,125,678,150,60,0.6756756756756757,0.8188405797101449,0.45454545454545453,0.6756756756756757,0.7889361419363414,0.558949810907481,0.5,0.5494505494505495,125,617,128,77,0.6188118811881188,0.8281879194630872,0.49407114624505927,0.6188118811881188,0.7781242896112753,0.5785477181799359,0.5,0.540045766590389,118,557,107,94,0.5566037735849056,0.838855421686747,0.5244444444444445,0.5566037735849056,,,,,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.1430064886270448,0.7226139511458072,0.2845401186675061,0.5,0.37410071942446044,26,134,75,12,0.6842105263157895,0.6411483253588517,0.25742574257425743,0.6842105263157895,0.7310794044665013,0.3757050177347336,0.5,0.48366013071895425,37,122,64,15,0.7115384615384616,0.6559139784946236,0.36633663366336633,0.7115384615384616,0.7384146341463415,0.4324093843080271,0.5,0.5194805194805194,40,110,54,20,0.6666666666666666,0.6707317073170732,0.425531914893617,0.6666666666666666,0.7111209570225964,0.4320607916067931,0.5,0.5103448275862069,37,101,47,24,0.6065573770491803,0.6824324324324325,0.44047619047619047,0.6065573770491803,0.6952210439333426,0.437619378583956,0.5,0.47692307692307695,31,91,46,22,0.5849056603773585,0.6642335766423357,0.4025974025974026,0.5849056603773585,,,,,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.0598663907351455,0.7591215927539946,0.4495738247572766,0.4600000000000001,0.40993788819875776,33,168,81,14,0.7021276595744681,0.6746987951807228,0.2894736842105263,0.7021276595744681,0.7142070484581498,0.4019216799374297,0.3600000000000001,0.3877551020408163,38,117,110,10,0.7916666666666666,0.5154185022026432,0.25675675675675674,0.7916666666666666,0.7194794463953729,0.356841372041216,0.32000000000000006,0.40404040404040403,40,95,111,7,0.851063829787234,0.46116504854368934,0.26490066225165565,0.851063829787234,0.6706989247311829,0.34967573381946315,0.3400000000000001,0.4175824175824176,38,90,96,10,0.7916666666666666,0.4838709677419355,0.2835820895522388,0.7916666666666666,0.6366215344938748,0.31929399365298367,0.38,0.38666666666666666,29,91,74,18,0.6170212765957447,0.5515151515151515,0.2815533980582524,0.6170212765957447,0.6728184935539302,0.8340010042823035,0.6305467899969905,0.7898364030358358,0.6392671071010666,0.7948600521863965,0.584587709892197,0.7559426053461777,0.5521560370278624,0.7233512250161187
