,mean_before_scale,scaler_mean,scaler_std
PIGD,0.47308228730822877,0.47308228730822877,0.4733557636360867
NP2PTOT,9.316956367506208,9.316956367506208,6.5562494746489115
NP3TOT,27.705729686564183,27.705729686564183,11.99121997632157
NP3RISNG,0.4151313210505684,0.4151313210505684,0.6581645777119433
NP4TOT,1.8481012658227849,1.8481012658227844,2.316691395594445
MSEADLG,87.71157932011332,87.71157932011332,12.08585841972538
NHY,1.9257659073055773,1.9257659073055773,0.5469507998495032
MCATOT,25.948845470692717,25.948845470692724,2.4095883087489014
GDS_TOT,2.931521449507061,2.931521449507061,2.4433959581767772
NP1HALL,0.13802866749247922,0.13802866749247925,0.4397483039694992
ESS6,0.15620863118877415,0.15620863118877418,0.3500147642005517
NP1URIN,0.974685785094707,0.974685785094707,0.9797090013998018
NP1CNST,0.7204815011506461,0.7204815011506461,0.8521445293401148
NP1FATG,0.893255443441317,0.893255443441317,0.9127764092891408
AGE_AT_VISIT,70.610918196995,70.610918196995,6.0250645913995795
