split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,55,5,0.5,3,3,3,1.0171221265649706,0.8248684808728973,0.27091835845399276,0.5,0.23686405337781485,142,1608,884,31,0.8208092485549133,0.6452648475120385,0.13840155945419103,0.8208092485549133,0.7735019520764439,0.2957320550972824,0.5,0.28820960698689957,198,1489,914,64,0.7557251908396947,0.6196421140241365,0.17805755395683454,0.7557251908396947,0.7444347599442847,0.27195140518132305,0.5,0.3157162726008345,227,1454,909,75,0.7516556291390728,0.6153195090986034,0.19982394366197184,0.7516556291390728,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,55,5,0.5,3,3,3,1.099690088451418,0.7657819225251077,0.20290603641744723,0.5,0.226890756302521,27,374,170,14,0.6585365853658537,0.6875,0.13705583756345177,0.6585365853658537,0.7401559579815686,0.25903548035751256,0.5,0.2753623188405797,38,347,179,21,0.6440677966101694,0.6596958174904943,0.17511520737327188,0.6440677966101694,0.725737763915547,0.26400009788136575,0.5,0.31316725978647686,44,348,173,20,0.6875,0.6679462571976967,0.20276497695852536,0.6875,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,55,5,0.5,3,3,3,0.9924556124594903,0.8129914529914529,0.15341680232501884,0.5,0.22556390977443608,30,384,201,5,0.8571428571428571,0.6564102564102564,0.12987012987012986,0.8571428571428571,0.7037420922834984,0.13896674210415375,0.5,0.22073578595317725,33,354,217,16,0.673469387755102,0.6199649737302977,0.132,0.673469387755102,0.7174817898022894,0.2087984981812584,0.5,0.275,44,344,214,18,0.7096774193548387,0.6164874551971327,0.17054263565891473,0.7096774193548387,0.759853290117417,0.8627643758516921,0.6381066006582424,0.769872923635649,0.6545422686349106,0.7782525524701811
