epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3
1,1.1425944100678767,1.2770954420939824,0.6605389070763031,0.2385212173687271,0.5263157894736842,0.7416267942583732,0.6752481389578164,0.3312106297772367,0.4230769230769231,0.7956989247311828,0.6846544715447155,0.41344814591892665,0.43333333333333335,0.8048780487804879
2,1.0671441898896143,1.2466468724444488,0.6616721228909594,0.2389368983805928,0.6052631578947368,0.6602870813397129,0.6788668320926385,0.33297074724562553,0.5961538461538461,0.6720430107526881,0.6885162601626016,0.4026611061350941,0.55,0.7134146341463414
3,1.0330797177131068,1.232714287779059,0.661294384286074,0.24249459225384815,0.6842105263157895,0.6028708133971292,0.6809346567411082,0.33426038626621674,0.7307692307692307,0.6344086021505376,0.6901422764227643,0.4064999798289507,0.6666666666666666,0.6646341463414634
4,1.0160032732546402,1.225733036172743,0.6623016872324352,0.2505712214533583,0.7105263157894737,0.5933014354066986,0.6807278742762614,0.334993941681388,0.75,0.6344086021505376,0.6945121951219513,0.41334054650270413,0.7,0.6524390243902439
5,1.0032106495311117,1.2212733507828921,0.6657013346764039,0.2556774730460363,0.6842105263157895,0.5980861244019139,0.6857940446650124,0.34077028230332734,0.75,0.6290322580645161,0.7008130081300813,0.41885885551681434,0.6666666666666666,0.6646341463414634
6,0.9907138730798449,1.2227447232591417,0.668345504910602,0.2825381549703477,0.6842105263157895,0.5933014354066986,0.689309346567411,0.3448519176795209,0.7307692307692307,0.6451612903225806,0.7065040650406504,0.42779863577418076,0.65,0.6707317073170732
7,0.9737313001874893,1.2306247574233875,0.6723747166960464,0.31816942938056536,0.6052631578947368,0.6267942583732058,0.6930314309346568,0.3464574107462495,0.6923076923076923,0.6666666666666666,0.7119918699186992,0.44102415756183266,0.6333333333333333,0.6951219512195121
8,0.9568556666883647,1.2113203558077765,0.6718710652228659,0.32889652655130736,0.631578947368421,0.5741626794258373,0.6984077750206782,0.35441541906013346,0.7307692307692307,0.6290322580645161,0.7145325203252034,0.44275811907811435,0.7166666666666667,0.6280487804878049
9,0.9387269880035858,1.265732774571404,0.6714933266179803,0.3373469766395909,0.5789473684210527,0.6411483253588517,0.7049214226633581,0.3749879595523325,0.5961538461538461,0.7204301075268817,0.7163617886178861,0.4576777009830453,0.5666666666666667,0.7439024390243902
10,0.9293313027246968,1.2085799228068972,0.6694787207252582,0.3424867307247994,0.631578947368421,0.6220095693779905,0.7108147229114972,0.38899114205280505,0.7115384615384616,0.6505376344086021,0.7109756097560976,0.4517396827109311,0.75,0.5609756097560976
11,0.9104469671699882,1.2635733323389788,0.673004281037522,0.335383114890759,0.6052631578947368,0.631578947368421,0.7137096774193549,0.3896602533580917,0.6153846153846154,0.7365591397849462,0.7170731707317074,0.4569789027738258,0.5333333333333333,0.75
12,0.8920152891741131,1.2165892516356094,0.6755225384034248,0.34030525568068304,0.6052631578947368,0.6363636363636364,0.7250827129859387,0.4024429687788235,0.6923076923076923,0.7043010752688172,0.7133130081300814,0.4624175082485479,0.7333333333333333,0.6219512195121951
13,0.8771622732500017,1.3145528320533095,0.678418534374213,0.33927669076776085,0.5789473684210527,0.6794258373205742,0.7271505376344086,0.40160894441540146,0.5384615384615384,0.7795698924731183,0.7152439024390244,0.4705636781658272,0.5333333333333333,0.7682926829268293
14,0.8602685812537778,1.3182977117671617,0.6780407957693275,0.3472040909053546,0.5526315789473685,0.6889952153110048,0.7352150537634409,0.4101204458970571,0.5384615384615384,0.7849462365591398,0.7115853658536585,0.4667706597967534,0.5333333333333333,0.774390243902439
15,0.8477815993958049,1.227811423150037,0.6847141777889701,0.35475616652913955,0.631578947368421,0.6698564593301436,0.7411083540115798,0.4169205747189264,0.6346153846153846,0.7473118279569892,0.708130081300813,0.46463831639843567,0.55,0.7073170731707317
