split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,0.9158372251141784,0.8157166176950702,0.4414542890634924,0.5,0.41187384044526903,111,743,278,39,0.74,0.7277179236043095,0.2853470437017995,0.74,0.8153021442495128,0.5505152478160105,0.5,0.47198641765704585,139,642,270,41,0.7722222222222223,0.7039473684210527,0.33985330073349634,0.7722222222222223,0.8100143621882753,0.5648128995317471,0.5,0.45321637426900585,155,484,344,30,0.8378378378378378,0.5845410628019324,0.3106212424849699,0.8378378378378378,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.2085799228068972,0.6694787207252582,0.3424867307247994,0.5,0.3404255319148936,24,130,79,14,0.631578947368421,0.6220095693779905,0.23300970873786409,0.631578947368421,0.7108147229114972,0.38899114205280505,0.5,0.4805194805194805,37,121,65,15,0.7115384615384616,0.6505376344086021,0.3627450980392157,0.7115384615384616,0.7109756097560976,0.4517396827109311,0.5,0.5084745762711864,45,92,72,15,0.75,0.5609756097560976,0.38461538461538464,0.75,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.1002873908547521,0.7413483722122531,0.4189223205557245,0.4,0.3686635944700461,40,119,130,7,0.851063829787234,0.4779116465863454,0.23529411764705882,0.851063829787234,0.725679148311307,0.3358447399878302,0.4800000000000001,0.4,37,127,100,11,0.7708333333333334,0.5594713656387665,0.27007299270072993,0.7708333333333334,0.6810576327205123,0.3510619071765717,0.5200000000000001,0.3516483516483517,32,103,103,15,0.6808510638297872,0.5,0.23703703703703705,0.6808510638297872,0.6579836412120129,0.818965939626909,0.6436175026490393,0.8008902770695224,0.5891527398220165,0.7698868186667748
