epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3
1,1.2202194284095549,1.1912979651720097,0.7170911047345767,0.12381018183948259,0.5853658536585366,0.7224264705882353,0.6663336985241992,0.1496382127083012,0.559322033898305,0.6920152091254753,0.6426343570057582,0.15395781523519694,0.484375,0.7005758157389635
2,1.1624049714984859,1.177287885470268,0.7060168579626973,0.1273481751618614,0.7073170731707317,0.5992647058823529,0.6523490365405684,0.16552140733348203,0.7627118644067796,0.5513307984790875,0.645813339731286,0.15317229913397915,0.765625,0.527831094049904
3,1.132432908457171,1.1794653533870338,0.7105003586800573,0.1295939038218411,0.6585365853658537,0.6544117647058824,0.6609525037056132,0.176412875561063,0.6949152542372882,0.6159695817490495,0.6480926103646834,0.15054013279900125,0.625,0.5988483685220729
4,1.1091413925557378,1.1832677967527994,0.7161944045911047,0.1298983837524878,0.7073170731707317,0.6636029411764706,0.6590513630212025,0.17906750400635427,0.6440677966101694,0.5950570342205324,0.6529510556621881,0.1611970120840425,0.65625,0.5854126679462572
5,1.0775247277283087,1.227535088857015,0.7172704447632712,0.12912339194376865,0.6341463414634146,0.6930147058823529,0.6574724495714378,0.17727034760510416,0.5932203389830508,0.6406844106463878,0.6520513435700576,0.17598121407586514,0.625,0.6084452975047985
6,1.0437108294154198,1.192544141997639,0.7247578909612625,0.13379592285352357,0.7073170731707317,0.6580882352941176,0.6422633240961526,0.17654128490839033,0.6440677966101694,0.5494296577946768,0.6498620441458733,0.17108318810787654,0.671875,0.508637236084453
7,0.993340184652783,1.2648689168131249,0.7253855810616929,0.14274877691814905,0.5365853658536586,0.7536764705882353,0.6521879229232453,0.1968704118872969,0.5084745762711864,0.6673003802281369,0.6546605086372361,0.17384283931313937,0.609375,0.6487523992322457
