,mean_before_scale,scaler_mean,scaler_std
NP3RISNG,0.4151313210505684,0.4151313210505684,0.6581645777119433
NP3GAIT,0.9356862745098039,0.9356862745098039,0.6864908101306667
NP2PTOT,9.316956367506208,9.316956367506208,6.5562494746489115
MSEADLG,87.71157932011332,87.71157932011332,12.08585841972538
NP3PSTBL,0.3409497317703159,0.3409497317703159,0.7252804719453929
NP3TOT,27.705729686564183,27.705729686564183,11.99121997632157
PIGD,0.47308228730822877,0.47308228730822877,0.4733557636360867
NP1RTOT,2.129563984402694,2.129563984402694,2.4395287021022947
NP1PTOT,6.283944060895734,6.283944060895734,3.894102251048789
NHY,1.9257659073055773,1.9257659073055773,0.5469507998495032
NP2HYGN,0.4070138150903294,0.4070138150903294,0.6014287736465728
NP2DRES,0.7260807937632885,0.7260807937632883,0.7541228812731872
NP3LGAGR,0.7260971786833855,0.7260971786833855,0.7532992381541137
NP1COG,0.5570695452132366,0.5570695452132366,0.7613739745749492
NP2EAT,0.5285258681785967,0.5285258681785967,0.6756444194296176
