split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.0180985089550671,0.7517531831537707,0.34276715439045563,0.5,0.3471698113207547,92,733,288,58,0.6133333333333333,0.7179236043095005,0.24210526315789474,0.6133333333333333,0.7568408869395711,0.4435332638999031,0.5,0.4111111111111111,111,663,249,69,0.6166666666666667,0.7269736842105263,0.30833333333333335,0.6166666666666667,0.7373286329808069,0.43382171073244163,0.5,0.41851106639839036,104,620,208,81,0.5621621621621622,0.748792270531401,0.3333333333333333,0.5621621621621622,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.2834036971517275,0.6536136993200706,0.27097101763016174,0.5,0.3026315789473684,23,118,91,15,0.6052631578947368,0.5645933014354066,0.20175438596491227,0.6052631578947368,0.6440239867659222,0.3275070520303115,0.5,0.36477987421383645,29,108,78,23,0.5576923076923077,0.5806451612903226,0.27102803738317754,0.5576923076923077,0.6296747967479674,0.36290794989853703,0.5,0.40816326530612246,30,107,57,30,0.5,0.6524390243902439,0.3448275862068966,0.5,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.0594624766664018,0.7540801503887892,0.4006371808929211,0.5,0.38461538461538464,30,170,79,17,0.6382978723404256,0.6827309236947792,0.27522935779816515,0.6382978723404256,0.7444933920704846,0.33273990854487506,0.5,0.43312101910828027,34,152,75,14,0.7083333333333334,0.6696035242290749,0.3119266055045872,0.7083333333333334,0.7908489981408799,0.3801748992272743,0.5,0.47761194029850745,32,151,55,15,0.6808510638297872,0.7330097087378641,0.367816091954023,0.6808510638297872,0.6859014744987757,0.820798411131029,0.6791285465365049,0.8074888591467153,0.7263011067073395,0.8503064992467563
