split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,0.9406953702916155,0.7991054521710741,0.40892434752727574,0.5,0.4024144869215292,100,774,247,50,0.6666666666666666,0.7580803134182175,0.2881844380403458,0.6666666666666666,0.801583820662768,0.5219944329453725,0.5,0.4883227176220807,115,736,176,65,0.6388888888888888,0.8070175438596491,0.3951890034364261,0.6388888888888888,0.7801148975062019,0.506233789292474,0.5,0.5,113,674,154,72,0.6108108108108108,0.8140096618357487,0.4232209737827715,0.6108108108108108,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.2427585114460906,0.6781667086376229,0.2749583763888295,0.5,0.36486486486486486,27,126,83,11,0.7105263157894737,0.6028708133971292,0.24545454545454545,0.7105263157894737,0.6943755169561621,0.3662570789193064,0.5,0.45714285714285713,32,130,56,20,0.6153846153846154,0.6989247311827957,0.36363636363636365,0.6153846153846154,0.6740853658536585,0.39582513462175367,0.5,0.4413793103448276,32,111,53,28,0.5333333333333333,0.676829268292683,0.3764705882352941,0.5333333333333333,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.0232650726599601,0.7683499957275912,0.4413161308718661,0.4800000000000001,0.43037974683544306,34,172,77,13,0.723404255319149,0.6907630522088354,0.3063063063063063,0.723404255319149,0.7602790014684289,0.37338282995248506,0.4600000000000001,0.4503311258278146,34,158,69,14,0.7083333333333334,0.6960352422907489,0.3300970873786408,0.7083333333333334,0.7933278248295808,0.47997119858428905,0.4600000000000001,0.4794520547945205,35,142,64,12,0.7446808510638298,0.6893203883495146,0.35353535353535354,0.7446808510638298,0.6940959376778599,0.8348893634862261,0.6916878577418061,0.8250728775200411,0.7284653748752148,0.8540501402669803
