split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,0.9734103786093848,0.7834476003917727,0.41545921452997997,0.5,0.3903420523138833,97,771,250,53,0.6466666666666666,0.7551420176297747,0.27953890489913547,0.6466666666666666,0.7886817738791423,0.4921568272369388,0.5,0.47368421052631576,108,744,168,72,0.6,0.8157894736842105,0.391304347826087,0.6,0.7706684945815381,0.4788831414641943,0.5,0.4931506849315068,108,683,145,77,0.5837837837837838,0.8248792270531401,0.4268774703557312,0.5837837837837838,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.265892024983472,0.6614202971543692,0.23558369588900446,0.5,0.31654676258992803,22,130,79,16,0.5789473684210527,0.6220095693779905,0.21782178217821782,0.5789473684210527,0.6709057071960297,0.33432985148322336,0.5,0.38848920863309355,27,126,60,25,0.5192307692307693,0.6774193548387096,0.3103448275862069,0.5192307692307693,0.6378048780487805,0.36383194764048754,0.5,0.43537414965986393,32,109,55,28,0.5333333333333333,0.6646341463414634,0.367816091954023,0.5333333333333333,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.0884152858436686,0.742630094847475,0.42691196862401587,0.5,0.4025157232704403,32,169,80,15,0.6808510638297872,0.678714859437751,0.2857142857142857,0.6808510638297872,0.7093428781204111,0.352471758776688,0.5,0.38620689655172413,28,158,69,20,0.5833333333333334,0.6960352422907489,0.28865979381443296,0.5833333333333334,0.7050196240446188,0.3620805483162185,0.5,0.3851851851851852,26,144,62,21,0.5531914893617021,0.6990291262135923,0.29545454545454547,0.5531914893617021,0.6652785383575707,0.8128804452815608,0.6324113224160892,0.7790679959879147,0.6256545381310419,0.7810067042669665
