split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,0.8655677529845628,0.8332092719555991,0.465956627362363,0.5,0.44668008048289737,111,785,236,39,0.74,0.7688540646425074,0.31988472622478387,0.74,0.841660575048733,0.5630017653301689,0.5,0.5454545454545454,138,724,188,42,0.7666666666666667,0.793859649122807,0.4233128834355828,0.7666666666666667,0.820707664185925,0.5552445871559377,0.5,0.5417515274949084,133,655,173,52,0.7189189189189189,0.7910628019323671,0.434640522875817,0.7189189189189189,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.1785304747700522,0.7111558801309493,0.2902163247316485,0.5,0.3561643835616438,26,127,82,12,0.6842105263157895,0.6076555023923444,0.24074074074074073,0.6842105263157895,0.7357320099255583,0.38765693415614433,0.5,0.4935064935064935,38,122,64,14,0.7307692307692307,0.6559139784946236,0.37254901960784315,0.7307692307692307,0.7176829268292683,0.42711827977382466,0.5,0.5189873417721519,41,107,57,19,0.6833333333333333,0.6524390243902439,0.41836734693877553,0.6833333333333333,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,3,3,1.062538210411095,0.7597197299837647,0.4849920821635622,0.54,0.36809815950920244,30,163,86,17,0.6382978723404256,0.6546184738955824,0.25862068965517243,0.6382978723404256,0.7391703377386196,0.4083786566420392,0.42000000000000004,0.3954802259887006,35,133,94,13,0.7291666666666666,0.5859030837004405,0.2713178294573643,0.7291666666666666,0.7444742821731047,0.39076601932071386,0.56,0.40875912408759124,28,144,62,19,0.5957446808510638,0.6990291262135923,0.3111111111111111,0.5957446808510638,0.6785161094321001,0.8262115469758787,0.6614838114862298,0.8068606502430031,0.6740672780740203,0.8149543456923004
