split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.107178091693565,0.704662095984329,0.266395947384661,0.5,0.3628691983122363,86,783,238,64,0.5733333333333334,0.7668952007835456,0.2654320987654321,0.5733333333333334,0.702199074074074,0.35531798239836054,0.5,0.4,103,680,232,77,0.5722222222222222,0.7456140350877193,0.3074626865671642,0.5722222222222222,0.6927536231884058,0.38397172985910644,0.5,0.40618101545253865,92,652,176,93,0.4972972972972973,0.7874396135265701,0.34328358208955223,0.4972972972972973,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.3125286762233515,0.6211281792999245,0.270778830823207,0.5,0.3364485981308411,18,158,51,20,0.47368421052631576,0.7559808612440191,0.2608695652173913,0.47368421052631576,0.6033912324234905,0.29656707626803425,0.5,0.384,24,137,49,28,0.46153846153846156,0.7365591397849462,0.3287671232876712,0.46153846153846156,0.573780487804878,0.3285976124218408,0.5,0.35294117647058826,21,126,38,39,0.35,0.7682926829268293,0.3559322033898305,0.35,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.1694644540548325,0.7079381355208066,0.3073349173064887,0.5000000000000001,0.4057971014492754,28,186,63,19,0.5957446808510638,0.7469879518072289,0.3076923076923077,0.5957446808510638,0.6914464023494862,0.2791291828937516,0.5000000000000001,0.4264705882352941,29,168,59,19,0.6041666666666666,0.7400881057268722,0.32954545454545453,0.6041666666666666,0.7366246643255525,0.34307282292092317,0.4800000000000001,0.47368421052631576,36,137,69,11,0.7659574468085106,0.6650485436893204,0.34285714285714286,0.7659574468085106,0.6231744608425134,0.7891915657027747,0.6123468701189475,0.7687439057655715,0.6539794793020598,0.8068153954505483
