epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3
1,1.136536090165122,1.275050059276172,0.6541173507932511,0.2576142538522955,0.5263157894736842,0.6555023923444976,0.6788668320926385,0.3522592748970169,0.5769230769230769,0.6720430107526881,0.6659552845528456,0.3888498850994297,0.4666666666666667,0.7195121951219512
2,1.051758321213635,1.2119977188379372,0.6764039284814908,0.29680491566670564,0.7105263157894737,0.5598086124401914,0.6961331679073615,0.36616748903686214,0.75,0.6021505376344086,0.6848577235772357,0.38570003547576437,0.6833333333333333,0.6341463414634146
3,1.0026772517133253,1.2078387640595267,0.6850919163938555,0.3193676702511614,0.7105263157894737,0.583732057416268,0.7001654259718776,0.36702452882160785,0.7307692307692307,0.5967741935483871,0.6878048780487804,0.3867348916375847,0.7166666666666667,0.6219512195121951
4,0.9781431789727147,1.2080790254646028,0.696424074540418,0.33172492408657467,0.7105263157894737,0.583732057416268,0.7089536807278742,0.38318606247492937,0.7307692307692307,0.6075268817204301,0.6957317073170732,0.39617781755980674,0.7166666666666667,0.5975609756097561
5,0.9629671832180431,1.204762019668883,0.698312767564845,0.3485354055591428,0.6842105263157895,0.583732057416268,0.7143300248138958,0.38822811399334245,0.7115384615384616,0.6129032258064516,0.6960365853658536,0.40528502652525844,0.7166666666666667,0.6341463414634146
6,0.9481261503656414,1.2086805752117307,0.7037270209015362,0.3528805583195221,0.7105263157894737,0.5789473684210527,0.716501240694789,0.38537076590394126,0.7307692307692307,0.6021505376344086,0.7024390243902439,0.4070795284476356,0.75,0.6280487804878049
7,0.9347844205896787,1.2109677970241257,0.699068244774616,0.3488921548017641,0.7105263157894737,0.5980861244019139,0.7162944582299421,0.3802584730940778,0.7115384615384616,0.6075268817204301,0.7022357723577235,0.4090829537413742,0.75,0.6341463414634146
8,0.9157254621386528,1.2118847231434497,0.700075547720977,0.35399067505248577,0.7631578947368421,0.569377990430622,0.7108147229114972,0.3806204081081182,0.7692307692307693,0.5913978494623656,0.7022357723577236,0.40842996933908654,0.7666666666666667,0.6036585365853658
9,0.8964054029575925,1.2550586697412982,0.7000755477209771,0.35034467305905426,0.6578947368421053,0.6220095693779905,0.7087468982630273,0.37469852725625735,0.6730769230769231,0.6397849462365591,0.7016260162601626,0.4121836994441953,0.7166666666666667,0.6585365853658537
10,0.883091891650679,1.2253826380784825,0.7000755477209771,0.3528319475996372,0.7631578947368421,0.569377990430622,0.7056451612903225,0.373994817178611,0.7692307692307693,0.5860215053763441,0.7038617886178862,0.4060141537858157,0.7666666666666667,0.5853658536585366
