epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3,val_auc_t+4,val_ap_t+4,val_sensitivity_t+4,val_specificity_t+4,val_auc_t+5,val_ap_t+5,val_sensitivity_t+5,val_specificity_t+5
1,1.0990044287803897,1.212256797330474,0.6580206497104004,0.2624931461348241,0.6842105263157895,0.5598086124401914,0.6855872622001653,0.34823281878396406,0.5961538461538461,0.6720430107526881,0.6786585365853659,0.3935972895758061,0.6,0.6707317073170732,0.6694727514399647,0.41738457789482963,0.6721311475409836,0.6418918918918919,0.6479823715741633,0.412957748522478,0.5471698113207547,0.7153284671532847
2,1.0272975518063345,1.168378587018712,0.6721228909594561,0.2859332977958373,0.7368421052631579,0.5263157894736842,0.6928246484698097,0.3621471410508051,0.7307692307692307,0.6021505376344086,0.6826219512195121,0.38643580347044926,0.75,0.6097560975609756,0.6683650863978733,0.43738320193641045,0.7540983606557377,0.6081081081081081,0.6534912546481201,0.41994123818867174,0.6792452830188679,0.6058394160583942
3,0.9882525704343732,1.1620376328483815,0.6821959204230672,0.31404471764967223,0.7631578947368421,0.5502392344497608,0.6976840363937138,0.3652498350389173,0.7307692307692307,0.5913978494623656,0.6851626016260162,0.3893515145592147,0.75,0.6036585365853658,0.6775587062472308,0.44391711413596696,0.7540983606557377,0.6148648648648649,0.662167745489602,0.42232503200603577,0.6981132075471698,0.6131386861313869
4,0.9676384090278447,1.164543731171732,0.6931503399647444,0.32729174619450785,0.7105263157894737,0.5789473684210527,0.7087468982630273,0.381442607265432,0.7115384615384616,0.6182795698924731,0.6979674796747968,0.408769843676865,0.7,0.6280487804878049,0.6870846256092157,0.4531906247321446,0.6885245901639344,0.6486486486486487,0.672359179176422,0.43548646558027826,0.6981132075471698,0.635036496350365
5,0.9550053619080652,1.1531135063309101,0.7003273734575675,0.33453696665626265,0.7105263157894737,0.583732057416268,0.7146401985111662,0.3878395528843437,0.7115384615384616,0.6075268817204301,0.7050813008130081,0.4146639498938723,0.7,0.6280487804878049,0.6966105449712007,0.4643453535546936,0.7213114754098361,0.6351351351351351,0.680760225864206,0.44410481122737644,0.7169811320754716,0.6423357664233577
6,0.9396829309651,1.1624801066377963,0.7020901536136992,0.3361042203580501,0.7105263157894737,0.5885167464114832,0.7157775020678246,0.38533713047902896,0.7115384615384616,0.6236559139784946,0.7074186991869919,0.41459297346624746,0.6833333333333333,0.6402439024390244,0.6987151085511741,0.46008786110054756,0.7049180327868853,0.6486486486486487,0.6818620024789974,0.4440798722724344,0.7169811320754716,0.6496350364963503
7,0.9262370956273704,1.1683731133972264,0.7030974565600605,0.34555582214729025,0.6842105263157895,0.5980861244019139,0.7146401985111663,0.38468777509188656,0.6923076923076923,0.6344086021505376,0.7073170731707318,0.4208550543388062,0.7,0.6524390243902439,0.7011519716437751,0.4710434368690627,0.7213114754098361,0.6621621621621622,0.6850296102465225,0.4571700725734583,0.7169811320754716,0.6642335766423357
8,0.9141017309028182,1.1619057660176004,0.7057416267942583,0.3475771121951371,0.7631578947368421,0.5933014354066986,0.7166046319272126,0.38681094487912193,0.7115384615384616,0.6182795698924731,0.7112804878048781,0.42359375139586675,0.7166666666666667,0.6402439024390244,0.7028134692069118,0.4681857093862111,0.7377049180327869,0.6486486486486487,0.6786943947114723,0.4482338184466186,0.7169811320754716,0.6496350364963503
9,0.8990338154343162,1.1633044354321724,0.7090153613699319,0.35567197311417875,0.7631578947368421,0.5885167464114832,0.7218775847808107,0.3955612626599985,0.7307692307692307,0.6021505376344086,0.7148373983739837,0.4258145322298966,0.75,0.6280487804878049,0.7050287992910944,0.4720736432202959,0.7377049180327869,0.6216216216216216,0.6785566726346233,0.45615586365420946,0.7358490566037735,0.6058394160583942
10,0.8823257470088838,1.166789907141713,0.7098967514479979,0.3547705695410949,0.7894736842105263,0.5789473684210527,0.7162944582299422,0.3890528909422959,0.75,0.5860215053763441,0.7144308943089431,0.4279558675686763,0.75,0.6280487804878049,0.7074656623836951,0.4745855112897893,0.7377049180327869,0.6013513513513513,0.6797961713262636,0.46007808615883544,0.7358490566037735,0.583941605839416
