split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,auc_t+4,ap_t+4,threshold_t+4,f1_t+4,tp_t+4,tn_t+4,fp_t+4,fn_t+4,sensitivity_t+4,specificity_t+4,precision_t+4,recall_t+4,auc_t+5,ap_t+5,threshold_t+5,f1_t+5,tp_t+5,tn_t+5,fp_t+5,fn_t+5,sensitivity_t+5,specificity_t+5,precision_t+5,recall_t+5,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3,ci_lo_t+4,ci_hi_t+4,ci_lo_t+5,ci_hi_t+5
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,0.9357750557478467,0.7838426379366634,0.3872965230734527,0.5,0.3890909090909091,107,728,293,43,0.7133333333333334,0.713026444662096,0.2675,0.7133333333333334,0.7868847465886939,0.5090384161211781,0.5,0.45778611632270166,122,681,231,58,0.6777777777777778,0.7467105263157895,0.34560906515580736,0.6777777777777778,0.765485050267659,0.4682373569020671,0.5,0.47766990291262135,123,621,207,62,0.6648648648648648,0.75,0.37272727272727274,0.6648648648648648,0.7574456774536514,0.5088431646352252,0.5,0.49523809523809526,130,552,193,72,0.6435643564356436,0.7409395973154362,0.4024767801857585,0.6435643564356436,0.7436597806319618,0.5258171649948221,0.5,0.5132382892057027,126,511,153,86,0.5943396226415094,0.7695783132530121,0.45161290322580644,0.5943396226415094,,,,,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.1531135063309101,0.7003273734575675,0.33453696665626265,0.5,0.35526315789473684,27,122,87,11,0.7105263157894737,0.583732057416268,0.23684210526315788,0.7105263157894737,0.7146401985111662,0.3878395528843437,0.5,0.4567901234567901,37,113,73,15,0.7115384615384616,0.6075268817204301,0.33636363636363636,0.7115384615384616,0.7050813008130081,0.4146639498938723,0.5,0.5153374233128835,42,103,61,18,0.7,0.6280487804878049,0.4077669902912621,0.7,0.6966105449712007,0.4643453535546936,0.5,0.5534591194968553,44,94,54,17,0.7213114754098361,0.6351351351351351,0.4489795918367347,0.7213114754098361,0.680760225864206,0.44410481122737644,0.5,0.5428571428571428,38,88,49,15,0.7169811320754716,0.6423357664233577,0.4367816091954023,0.7169811320754716,,,,,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,3,3,1.1084504017210381,0.7204562932581389,0.38065572325720665,0.5,0.37714285714285717,33,154,95,14,0.7021276595744681,0.6184738955823293,0.2578125,0.7021276595744681,0.6675385462555067,0.36041639327879793,0.5,0.3473053892215569,29,137,90,19,0.6041666666666666,0.6035242290748899,0.24369747899159663,0.6041666666666666,0.6963437306341664,0.39678203099987946,0.5,0.4050632911392405,32,127,79,15,0.6808510638297872,0.616504854368932,0.2882882882882883,0.6808510638297872,0.6627464157706094,0.3537446288489812,0.5,0.4025974025974026,31,111,75,17,0.6458333333333334,0.5967741935483871,0.29245283018867924,0.6458333333333334,0.6257898130238556,0.3543147545374483,0.5,0.41379310344827586,30,97,68,17,0.6382978723404256,0.5878787878787879,0.30612244897959184,0.6382978723404256,0.6365465828100233,0.8003184737787403,0.5798878224894645,0.7502203893154156,0.616231527093596,0.7708525796988266,0.5763929740769155,0.7429374999999999,0.5319973924982406,0.7109952443758176
