split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,0.8870459494245795,0.819164218086843,0.47469257972290585,0.5,0.4484304932735426,100,825,196,50,0.6666666666666666,0.8080313418217434,0.33783783783783783,0.6666666666666666,0.8298489278752437,0.5562009272991525,0.5,0.5353982300884956,121,761,151,59,0.6722222222222223,0.8344298245614035,0.44485294117647056,0.6722222222222223,0.8149105627366497,0.5486459658373332,0.5,0.5793103448275863,126,704,124,59,0.6810810810810811,0.8502415458937198,0.504,0.6810810810810811,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.1687962111027856,0.7234953412238732,0.2694139504760816,0.5,0.3880597014925373,26,139,70,12,0.6842105263157895,0.6650717703349283,0.2708333333333333,0.6842105263157895,0.7362489660876758,0.3901705911326743,0.5,0.496551724137931,36,129,57,16,0.6923076923076923,0.6935483870967742,0.3870967741935484,0.6923076923076923,0.7390243902439024,0.45088633673772216,0.5,0.5306122448979592,39,116,48,21,0.65,0.7073170731707317,0.4482758620689655,0.65,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.0945790818919545,0.7550200803212851,0.4182983555565091,0.5,0.4397163120567376,31,186,63,16,0.6595744680851063,0.7469879518072289,0.32978723404255317,0.6595744680851063,0.6998898678414096,0.3493090930862577,0.5,0.38095238095238093,24,173,54,24,0.5,0.762114537444934,0.3076923076923077,0.5,0.722061557529436,0.35393172400198897,0.5,0.39669421487603307,24,156,50,23,0.5106382978723404,0.7572815533980582,0.32432432432432434,0.5106382978723404,0.6706360196214363,0.8296673411201617,0.6157024793388429,0.7740332312543585,0.6411398373451944,0.7977219232520594
