epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3
1,1.1408053160223186,1.2748679726349115,0.6556283052127927,0.23768254285481255,0.5,0.7177033492822966,0.6697684036393714,0.3263284559459027,0.46153846153846156,0.7634408602150538,0.678048780487805,0.40147579229388636,0.45,0.774390243902439
2,1.0678326046692437,1.2410690623462957,0.6601611684714177,0.24355802030024298,0.6578947368421053,0.6507177033492823,0.6771091811414391,0.33303012764462137,0.6538461538461539,0.6827956989247311,0.6917682926829268,0.4083514702839879,0.6166666666666667,0.7134146341463414
3,1.0339207848276992,1.2241815495474213,0.6646940317300428,0.2476212960687437,0.6842105263157895,0.6220095693779905,0.684656741108354,0.3413806077986203,0.7115384615384616,0.6290322580645161,0.6997967479674796,0.41663857628589285,0.7166666666666667,0.6463414634146342
4,1.0049516887054921,1.2182708368735187,0.6696046335935533,0.25559645609354986,0.6842105263157895,0.631578947368421,0.6852770885028949,0.3443436884401481,0.7115384615384616,0.6397849462365591,0.7024390243902439,0.42175298143630113,0.7333333333333333,0.6280487804878049
5,0.9782272898415797,1.187499776461565,0.6866028708133972,0.2699432166596431,0.7894736842105263,0.5741626794258373,0.7005789909015716,0.3583350962163271,0.75,0.5860215053763441,0.7178861788617885,0.43680827784893983,0.8166666666666667,0.5548780487804879
6,0.9445366974879097,1.2547984029913823,0.6776630571644422,0.2715133448557038,0.6052631578947368,0.6746411483253588,0.6948924731182796,0.35374269099907013,0.6730769230769231,0.7150537634408602,0.7099593495934959,0.44274011562552906,0.5666666666666667,0.7378048780487805
7,0.9245323286788658,1.2701030610646784,0.6777889700327373,0.28100117222339777,0.5789473684210527,0.7081339712918661,0.6971670802315963,0.37412595805775833,0.6730769230769231,0.7580645161290323,0.7133130081300812,0.44727849477240667,0.5666666666666667,0.7378048780487805
8,0.899930968425795,1.221996582025197,0.6857214807353311,0.3004496533039223,0.6578947368421053,0.6124401913875598,0.7030603804797353,0.37575544003292877,0.6923076923076923,0.6612903225806451,0.7145325203252033,0.45757923240323617,0.7,0.6219512195121951
9,0.8806440675578857,1.372804927683011,0.676529841349786,0.31696323030261286,0.5526315789473685,0.7129186602870813,0.6971670802315963,0.3767984035853853,0.5576923076923077,0.7580645161290323,0.7022357723577235,0.45547624006522236,0.5166666666666667,0.7378048780487805
10,0.8666651448159864,1.301933958096632,0.6800554016620498,0.3307187767389185,0.6052631578947368,0.6985645933014354,0.7056451612903226,0.38174001964821574,0.6346153846153846,0.7258064516129032,0.7151422764227642,0.46242558351263985,0.6,0.7012195121951219
