epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3,val_auc_t+4,val_ap_t+4,val_sensitivity_t+4,val_specificity_t+4,val_auc_t+5,val_ap_t+5,val_sensitivity_t+5,val_specificity_t+5
1,1.1026501132708293,1.2182934497237636,0.6503399647443968,0.24272393611494578,0.5526315789473685,0.6555023923444976,0.6839330024813896,0.3397519804278287,0.5576923076923077,0.7096774193548387,0.6729674796747968,0.3754504074350976,0.45,0.7682926829268293,0.671577315019938,0.42334444207677635,0.6065573770491803,0.7027027027027027,0.6362759950420053,0.41766458231640824,0.6037735849056604,0.6861313868613139
2,1.0362558065149965,1.1839268649743353,0.6572651725006295,0.24826344287214724,0.6578947368421053,0.6172248803827751,0.6905500413564929,0.34342348799971206,0.6538461538461539,0.6505376344086021,0.6962398373983739,0.4063467380733918,0.6166666666666667,0.6951219512195121,0.6774479397430218,0.43326322905249776,0.6557377049180327,0.6756756756756757,0.6427489326539043,0.4102666094198339,0.660377358490566,0.6715328467153284
3,1.0050185389391557,1.1618552710390264,0.664945857466633,0.2573280965360118,0.7105263157894737,0.5598086124401914,0.7037841191066998,0.3584569863299217,0.75,0.6236559139784946,0.7097560975609756,0.42511138540350857,0.7166666666666667,0.6524390243902439,0.6910722197607443,0.4527404403957246,0.7377049180327869,0.6216216216216216,0.6561079741082495,0.42323376539832513,0.6792452830188679,0.6058394160583942
4,0.9849050994257432,1.1487219493419254,0.6753966255351297,0.28672869565275094,0.7368421052631579,0.583732057416268,0.7107113316790736,0.36992305688303345,0.75,0.6397849462365591,0.7207317073170731,0.4411329731252995,0.7166666666666667,0.6463414634146342,0.7015950376606115,0.4685847311341511,0.6885245901639344,0.6351351351351351,0.6668502961024652,0.4351578148661844,0.6792452830188679,0.635036496350365
5,0.9638226117356475,1.1260880790247383,0.6857214807353311,0.3135248226151467,0.6842105263157895,0.5789473684210527,0.7240488006617039,0.3864611305359315,0.7692307692307693,0.6344086021505376,0.734959349593496,0.46152957677326656,0.7666666666666667,0.6402439024390244,0.7146654851572884,0.4798044185469917,0.7377049180327869,0.6283783783783784,0.6899876050130836,0.45642760916709035,0.7169811320754716,0.6131386861313869
6,0.9431037262482465,1.136711158154243,0.6893729539158902,0.31811683130602186,0.6842105263157895,0.6411483253588517,0.7241521918941274,0.388287746338412,0.7884615384615384,0.6344086021505376,0.7354674796747968,0.469393162684676,0.7666666666666667,0.6646341463414634,0.7131147540983606,0.4868296874673814,0.7213114754098361,0.6418918918918919,0.6847541660928247,0.4549138138629441,0.660377358490566,0.6715328467153284
7,0.9220014412652326,1.124733404669951,0.6923948627549736,0.3215031733011723,0.6842105263157895,0.645933014354067,0.727874276261373,0.40231247897192396,0.75,0.6774193548387096,0.7429878048780488,0.4876632916323734,0.7333333333333333,0.6829268292682927,0.7194284448382808,0.5001517703737449,0.6721311475409836,0.6554054054054054,0.7025203140063352,0.45626577592501566,0.6792452830188679,0.635036496350365
8,0.8981166146366847,1.1348623675344653,0.694787207252581,0.33538012400159845,0.6842105263157895,0.6363636363636364,0.7299421009098429,0.4186409222130024,0.75,0.6451612903225806,0.7411585365853659,0.4987683859294304,0.75,0.6524390243902439,0.7157731501993797,0.5100161876758655,0.7049180327868853,0.6351351351351351,0.694394711472249,0.45548332823046994,0.660377358490566,0.6496350364963503
9,0.8771841538188551,1.1589706522893388,0.6942835557794006,0.3469753876289357,0.6578947368421053,0.6746411483253588,0.7357320099255583,0.4113327725735877,0.7115384615384616,0.7150537634408602,0.7379065040650407,0.49151707267385736,0.6166666666666667,0.7073170731707317,0.7127824545857333,0.5002554657262841,0.6065573770491803,0.6959459459459459,0.6978377633934719,0.46922248193226135,0.5849056603773585,0.6934306569343066
10,0.8537576450135432,1.1671248599079973,0.6974313774867791,0.3666509493721059,0.631578947368421,0.6650717703349283,0.744727047146402,0.4491748327821114,0.7307692307692307,0.7204301075268817,0.741869918699187,0.5083144843445648,0.6833333333333333,0.7012195121951219,0.7202038103677447,0.5148389208278465,0.639344262295082,0.7162162162162162,0.6982509296240188,0.4721662112414231,0.6037735849056604,0.6934306569343066
11,0.8345932415020796,1.1252881506397405,0.702719717955175,0.3665969986039747,0.6578947368421053,0.6555023923444976,0.7483457402812241,0.44572500687296573,0.7115384615384616,0.6666666666666666,0.745020325203252,0.5186399499581009,0.7166666666666667,0.6524390243902439,0.7209791758972087,0.5247081038533454,0.6557377049180327,0.6216216216216216,0.7052747555433136,0.4752626662204742,0.6226415094339622,0.6277372262773723
12,0.8054345566213166,1.1894682219742867,0.6954167715940569,0.3670351661763356,0.6578947368421053,0.6842105263157895,0.7486559139784945,0.44469339093076404,0.6346153846153846,0.7526881720430108,0.7390243902439023,0.5110177524105168,0.6166666666666667,0.7439024390243902,0.7214222419140451,0.515840957688363,0.639344262295082,0.7162162162162162,0.7007299270072993,0.46679979593223764,0.5660377358490566,0.7226277372262774
