split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,2,0.2,0.001,0.0001,50,5,0.5,3,3,3,1.004194333294227,0.76939601697682,0.3748194317942195,0.5,0.37349397590361444,93,766,255,57,0.62,0.7502448579823702,0.2672413793103448,0.62,0.7723075048732944,0.46164623195207666,0.5,0.45491803278688525,111,715,197,69,0.6166666666666667,0.7839912280701754,0.36038961038961037,0.6166666666666667,0.7500652826739783,0.46714302249836154,0.5,0.4811320754716981,102,691,137,83,0.5513513513513514,0.8345410628019324,0.42677824267782427,0.5513513513513514,,,,,,
val,default_eval_threshold,16,64,2,0.2,0.001,0.0001,50,5,0.5,3,3,3,1.2317734388437527,0.6866028708133971,0.27535053067097476,0.5,0.3546099290780142,25,131,78,13,0.6578947368421053,0.6267942583732058,0.24271844660194175,0.6578947368421053,0.6909636062861869,0.35082406894098145,0.5,0.4370860927152318,33,120,66,19,0.6346153846153846,0.6451612903225806,0.3333333333333333,0.6346153846153846,0.6905487804878049,0.3989656590976274,0.5,0.45390070921985815,32,115,49,28,0.5333333333333333,0.7012195121951219,0.3950617283950617,0.5333333333333333,,,,,,
test,default_eval_threshold,16,64,2,0.2,0.001,0.0001,50,5,0.5,3,3,3,1.0403729981733758,0.7718533709305306,0.4231541436788419,0.5,0.45161290322580644,35,176,73,12,0.7446808510638298,0.7068273092369478,0.32407407407407407,0.7446808510638298,0.7570668135095447,0.4084314510092516,0.5,0.4657534246575342,34,163,64,14,0.7083333333333334,0.7180616740088106,0.3469387755102041,0.7083333333333334,0.785374922536666,0.4338518943970846,0.5,0.496,31,159,47,16,0.6595744680851063,0.7718446601941747,0.3974358974358974,0.6595744680851063,0.6976091269841269,0.8388463045279086,0.6847565189471967,0.824691498995495,0.7153893749280534,0.8444581362592013
