horizon,auc,ci_lo,ci_hi
t+1,0.7263094932923182,0.6455289803266206,0.8026875927889713
t+2,0.7212738619676946,0.641504340025986,0.7906257203421909
t+3,0.6884941127866144,0.6058028158227154,0.7682993842370662
t+4,0.6736111111111112,0.5923547046504681,0.7591249712584485
t+5,0.6037395228884591,0.5144443371943372,0.6956509211758126
