split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.0095283031390845,0.7551224289911851,0.3582134665270983,0.5,0.35650623885918004,100,710,311,50,0.6666666666666666,0.6953966699314398,0.24330900243309003,0.6666666666666666,0.7592775341130604,0.4579848058746665,0.5,0.41622574955908287,118,643,269,62,0.6555555555555556,0.7050438596491229,0.3049095607235142,0.6555555555555556,0.7457566261914089,0.4479845761016149,0.5,0.4548872180451128,121,602,226,64,0.654054054054054,0.7270531400966184,0.34870317002881845,0.654054054054054,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.28801391066718,0.6470662301687232,0.25675695752940353,0.5,0.2967741935483871,23,115,94,15,0.6052631578947368,0.5502392344497608,0.19658119658119658,0.6052631578947368,0.6290322580645162,0.30617350857733866,0.5,0.38271604938271603,31,107,79,21,0.5961538461538461,0.5752688172043011,0.2818181818181818,0.5961538461538461,0.6098577235772357,0.337724959354804,0.5,0.4,30,104,60,30,0.5,0.6341463414634146,0.3333333333333333,0.5,,,,,,
test,best_thresholds_from_val_youden_j,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.0552893875582705,0.760317867213535,0.38172729400476607,0.56,0.40298507462686567,27,189,60,20,0.574468085106383,0.7590361445783133,0.3103448275862069,0.574468085106383,0.7474302496328928,0.3258321114423206,0.5800000000000001,0.43548387096774194,27,178,49,21,0.5625,0.7841409691629956,0.35526315789473684,0.5625,0.7844453625284032,0.37479787084716226,0.4,0.4195121951219512,43,91,115,4,0.9148936170212766,0.441747572815534,0.2721518987341772,0.9148936170212766,0.6950591294535919,0.824343737494998,0.6810936772401888,0.8082040360196941,0.7186515891251789,0.8453059885926202
