,mean_before_scale,scaler_mean,scaler_std
PIGD,0.47308228730822877,0.47308228730822877,0.4733557636360867
NP3RISNG,0.4151313210505684,0.4151313210505684,0.6581645777119433
NP3GAIT,0.9356862745098039,0.9356862745098039,0.6864908101306667
NP2PTOT,9.316956367506208,9.316956367506208,6.5562494746489115
NP4FLCTX,0.4170530654301906,0.4170530654301906,0.6153016941328523
NP4TOT,1.8481012658227849,1.8481012658227844,2.316691395594445
NP4FLCTI,0.449510561566203,0.44951056156620306,0.7169081348407415
NP1HALL,0.13802866749247922,0.13802866749247925,0.4397483039694992
NP1RTOT,2.129563984402694,2.129563984402694,2.4395287021022947
NP1PTOT,6.283944060895734,6.283944060895734,3.894102251048789
NP1COG,0.5570695452132366,0.5570695452132366,0.7613739745749492
MCATOT,25.948845470692717,25.948845470692724,2.4095883087489014
GDS_TOT,2.931521449507061,2.931521449507061,2.4433959581767772
NP1SLPD,1.0403611258629846,1.0403611258629846,0.8683641927032432
NP1URIN,0.974685785094707,0.974685785094707,0.9797090013998018
