split,horizon,n_valid,n_positive,positive_rate
train,t+1,2665,173,0.06491557223264541
train,t+2,2665,262,0.09831144465290807
train,t+3,2665,302,0.11332082551594747
val,t+1,585,41,0.07008547008547009
val,t+2,585,59,0.10085470085470086
val,t+3,585,64,0.1094017094017094
test,t+1,620,35,0.056451612903225805
test,t+2,620,49,0.07903225806451612
test,t+3,620,62,0.1
