epoch,train_loss,val_loss,val_auc_t+1,val_ap_t+1,val_sensitivity_t+1,val_specificity_t+1,val_auc_t+2,val_ap_t+2,val_sensitivity_t+2,val_specificity_t+2,val_auc_t+3,val_ap_t+3,val_sensitivity_t+3,val_specificity_t+3,val_auc_t+4,val_ap_t+4,val_sensitivity_t+4,val_specificity_t+4,val_auc_t+5,val_ap_t+5,val_sensitivity_t+5,val_specificity_t+5
1,1.0953004385448246,1.2068257356593755,0.6620498614958449,0.2514079367911537,0.6842105263157895,0.5598086124401914,0.6765922249793217,0.33673989845057123,0.6538461538461539,0.6559139784946236,0.6717479674796747,0.38249810032519704,0.65,0.6646341463414634,0.669805050952592,0.4254793798864943,0.6885245901639344,0.6216216216216216,0.6470183170362209,0.4272902764174625,0.5849056603773585,0.6861313868613139
2,1.0217498340871338,1.157016430574634,0.6751447997985394,0.28238401492460663,0.7631578947368421,0.5311004784688995,0.684863523573201,0.337226946958334,0.75,0.5806451612903226,0.6914634146341464,0.3950848554342264,0.75,0.5914634146341463,0.6884138236597253,0.43574007338323645,0.7704918032786885,0.5878378378378378,0.6605150805674149,0.4324732379727717,0.7169811320754716,0.6277372262773723
3,0.9774863068660957,1.1561764962836723,0.6897506925207757,0.29990700397451703,0.7631578947368421,0.5358851674641149,0.6930314309346568,0.35579482230386306,0.75,0.5806451612903226,0.7,0.39951515053727593,0.75,0.5914634146341463,0.7061364643331857,0.4651454161320675,0.7540983606557377,0.5945945945945946,0.6664371298719185,0.4374567563675692,0.7169811320754716,0.6058394160583942
4,0.9516254105996235,1.1669093524828715,0.7012087635356333,0.31598895486752926,0.7368421052631579,0.583732057416268,0.7013027295285359,0.37356691711224543,0.75,0.6182795698924731,0.7076219512195122,0.40714992475182243,0.7333333333333333,0.6402439024390244,0.7122286220646876,0.48552734838840567,0.7213114754098361,0.6418918918918919,0.6729100674838177,0.4313835710062015,0.6981132075471698,0.6496350364963503
5,0.9336393421293357,1.146714713437893,0.7077562326869806,0.31791194982304194,0.7368421052631579,0.583732057416268,0.7105045492142266,0.37411724867294655,0.7307692307692307,0.6021505376344086,0.7211382113821138,0.42329683609318663,0.7333333333333333,0.6158536585365854,0.7285112981834294,0.5038056797775531,0.7540983606557377,0.6283783783783784,0.687646329706652,0.44915282345742774,0.7358490566037735,0.5985401459854015
6,0.9110662096164862,1.1668236828022485,0.7049861495844876,0.3229489887471942,0.7105263157894737,0.6028708133971292,0.711848635235732,0.3747549878943383,0.7115384615384616,0.6290322580645161,0.7229674796747967,0.4249162985517996,0.75,0.6402439024390244,0.7305050952591935,0.4998255491273587,0.7377049180327869,0.6621621621621622,0.689298994628839,0.4512213252703382,0.6981132075471698,0.6642335766423357
7,0.8859082343742459,1.1861341200257898,0.7073784940820952,0.3213571042295146,0.631578947368421,0.645933014354067,0.7094706368899917,0.38919966203720235,0.6346153846153846,0.6720430107526881,0.7184959349593494,0.4394481919276691,0.6833333333333333,0.6829268292682927,0.735157288435977,0.5180655273648889,0.7049180327868853,0.722972972972973,0.691089381627875,0.4617186499376238,0.6792452830188679,0.6788321167883211
8,0.8675226994672695,1.1963300961557277,0.7057416267942583,0.32458446809753266,0.631578947368421,0.6602870813397129,0.7131927212572374,0.3835765732243191,0.6346153846153846,0.6827956989247311,0.7209349593495935,0.442677312547571,0.6666666666666666,0.6951219512195121,0.7309481612760302,0.5156481365589727,0.6885245901639344,0.7027027027027027,0.6905384933204793,0.4605836402423613,0.6981132075471698,0.6934306569343066
9,0.8404967019688407,1.165010792307475,0.7033492822966508,0.32597876756866867,0.7631578947368421,0.5933014354066986,0.7152605459057071,0.39194379224919057,0.75,0.5860215053763441,0.7289634146341464,0.4594333063161118,0.7166666666666667,0.5975609756097561,0.741249446167479,0.5331532082792454,0.7213114754098361,0.6013513513513513,0.7007299270072993,0.49090616150068617,0.7358490566037735,0.5766423357664233
10,0.8043081868651054,1.183029548786177,0.7048602367161924,0.33122430502696376,0.7105263157894737,0.5885167464114832,0.7224979321753515,0.4063327880748316,0.7307692307692307,0.6236559139784946,0.7350609756097561,0.4731107340479018,0.7333333333333333,0.6280487804878049,0.743132476739034,0.5426089702352642,0.7213114754098361,0.6216216216216216,0.7004544828536013,0.49911455278874617,0.7547169811320755,0.635036496350365
