split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,0.9748961893302617,0.7769833496571988,0.41089133909028525,0.5,0.4122448979591837,101,782,239,49,0.6733333333333333,0.7659157688540646,0.29705882352941176,0.6733333333333333,0.7734100877192983,0.4981342495306776,0.5,0.46320346320346323,107,737,175,73,0.5944444444444444,0.8081140350877193,0.37943262411347517,0.5944444444444444,0.7611241676459068,0.48323336423429236,0.5,0.459915611814346,109,648,180,76,0.5891891891891892,0.782608695652174,0.3771626297577855,0.5891891891891892,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.2496617058940935,0.679299924452279,0.2871254270740074,0.5,0.35714285714285715,25,132,77,13,0.6578947368421053,0.631578947368421,0.24509803921568626,0.6578947368421053,0.6820719602977667,0.360471409684641,0.5,0.42857142857142855,30,128,58,22,0.5769230769230769,0.6881720430107527,0.3409090909090909,0.5769230769230769,0.6643292682926829,0.40205202506547794,0.5,0.4533333333333333,34,108,56,26,0.5666666666666667,0.6585365853658537,0.37777777777777777,0.5666666666666667,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,3,5,3,1.0181839603171186,0.7769802614714175,0.4520342496686951,0.5,0.4025974025974026,31,173,76,16,0.6595744680851063,0.6947791164658634,0.2897196261682243,0.6595744680851063,0.7719346549192364,0.38280123615346634,0.5,0.4714285714285714,33,168,59,15,0.6875,0.7400881057268722,0.358695652173913,0.6875,0.7789712869241893,0.43292624374522126,0.5,0.46715328467153283,32,148,58,15,0.6808510638297872,0.7184466019417476,0.35555555555555557,0.6808510638297872,0.7054133460790021,0.8414164806547618,0.7039579106404679,0.8321875437701853,0.7081691873956764,0.8433139943255971
