split,threshold_source,BATCH_SIZE,HIDDEN_SIZE,NUM_LAYERS,DROPOUT,LR,WEIGHT_DECAY,EPOCHS,PATIENCE,EVAL_THRESHOLD,HORIZON,LOOKBACK,MIN_HISTORY_VISITS,loss,auc_t+1,ap_t+1,threshold_t+1,f1_t+1,tp_t+1,tn_t+1,fp_t+1,fn_t+1,sensitivity_t+1,specificity_t+1,precision_t+1,recall_t+1,auc_t+2,ap_t+2,threshold_t+2,f1_t+2,tp_t+2,tn_t+2,fp_t+2,fn_t+2,sensitivity_t+2,specificity_t+2,precision_t+2,recall_t+2,auc_t+3,ap_t+3,threshold_t+3,f1_t+3,tp_t+3,tn_t+3,fp_t+3,fn_t+3,sensitivity_t+3,specificity_t+3,precision_t+3,recall_t+3,auc_t+4,ap_t+4,threshold_t+4,f1_t+4,tp_t+4,tn_t+4,fp_t+4,fn_t+4,sensitivity_t+4,specificity_t+4,precision_t+4,recall_t+4,auc_t+5,ap_t+5,threshold_t+5,f1_t+5,tp_t+5,tn_t+5,fp_t+5,fn_t+5,sensitivity_t+5,specificity_t+5,precision_t+5,recall_t+5,ci_lo_t+1,ci_hi_t+1,ci_lo_t+2,ci_hi_t+2,ci_lo_t+3,ci_hi_t+3,ci_lo_t+4,ci_hi_t+4,ci_lo_t+5,ci_hi_t+5
train,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,5,3,0.9778696282701554,0.7616323865491349,0.33805762504603737,0.5,0.36661211129296234,112,672,349,38,0.7466666666666667,0.6581782566111655,0.24295010845986983,0.7466666666666667,0.7557200292397661,0.4211230482384561,0.5,0.43050847457627117,127,629,283,53,0.7055555555555556,0.6896929824561403,0.3097560975609756,0.7055555555555556,0.750235017626322,0.42126451205989285,0.5,0.4618055555555556,133,570,258,52,0.7189189189189189,0.6884057971014492,0.340153452685422,0.7189189189189189,0.7498172636055553,0.4616395172188736,0.5,0.4758842443729904,148,473,272,54,0.7326732673267327,0.6348993288590604,0.3523809523809524,0.7326732673267327,0.750433337122073,0.5089439953048495,0.5,0.5166666666666667,155,431,233,57,0.7311320754716981,0.6490963855421686,0.39948453608247425,0.7311320754716981,,,,,,,,,,
val,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,5,3,1.1719350612012918,0.6680936791740116,0.24960115682542344,0.5,0.37037037037037035,30,115,94,8,0.7894736842105263,0.5502392344497608,0.24193548387096775,0.7894736842105263,0.6875516956162118,0.343392264644262,0.5,0.47619047619047616,40,110,76,12,0.7692307692307693,0.5913978494623656,0.3448275862068966,0.7692307692307693,0.6989837398373985,0.4165383862801323,0.5,0.5411764705882353,46,100,64,14,0.7666666666666667,0.6097560975609756,0.41818181818181815,0.7666666666666667,0.6868630926007975,0.43810648071141434,0.5,0.5402298850574713,47,82,66,14,0.7704918032786885,0.5540540540540541,0.415929203539823,0.7704918032786885,0.6431620988844511,0.4006674087731509,0.5,0.5,37,79,58,16,0.6981132075471698,0.5766423357664233,0.3894736842105263,0.6981132075471698,,,,,,,,,,
test,default_eval_threshold,16,64,1,0.1,0.001,0.0001,50,5,0.5,5,5,3,1.0522573605297119,0.7427155430231565,0.37363608724846725,0.5,0.3902439024390244,40,131,118,7,0.851063829787234,0.5261044176706827,0.25316455696202533,0.851063829787234,0.7626651982378854,0.3625010604185903,0.5,0.4126984126984127,39,125,102,9,0.8125,0.5506607929515418,0.2765957446808511,0.8125,0.7267093575707497,0.3794766131891728,0.5,0.41304347826086957,38,107,99,9,0.8085106382978723,0.5194174757281553,0.2773722627737226,0.8085106382978723,0.6883960573476702,0.3415951180445296,0.5,0.43333333333333335,39,93,93,9,0.8125,0.5,0.29545454545454547,0.8125,0.6306898774983881,0.3273914708613852,0.5,0.3875,31,83,82,16,0.6595744680851063,0.503030303030303,0.2743362831858407,0.6595744680851063,0.6618896484375,0.8142322207435505,0.686579303421227,0.8274490506684643,0.643900233360671,0.8044280987669993,0.6068390957446809,0.7782568583493044,0.5399389650686193,0.723997879590958
